id,name,text,genres,cast_names,year
13,Arrival,"Title: Arrival. Movie: Arrival. Arrival. Release year: 2016. Overview: Linguist Louise Banks leads a team of investigators when gigantic spaceships touch down around the world. As nations teeter on the verge of global war, Banks and her crew must find a way to communicate with the extraterrestrial vi...",[],[],2016
14,Guardians of the Galaxy Vol. 2,"Title: Guardians of the Galaxy Vol. 2. Movie: Guardians of the Galaxy Vol. 2. Guardians of the Galaxy Vol. 2. Release year: 2017. Overview: The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.",[],[],2017
15,Iron Man,"Title: Iron Man. Movie: Iron Man. Iron Man. Release year: 2008. Overview: After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",[],[],2008
16,Fight Club,Title: Fight Club. Movie: Fight Club. Fight Club. Release year: 1999. Overview: An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,[],[],1999
17,Captain America: Civil War,Title: Captain America: Civil War. Movie: Captain America: Civil War. Captain America: Civil War. Release year: 2016. Overview: Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,[],[],2016
18,John Wick,"Title: John Wick. Movie: John Wick. John Wick. Release year: 2014. Overview: John Wick is a former hitman grieving the loss of his true love. When his home is broken into, robbed, and his dog killed, he is forced to return to action to exact revenge.",[],[],2014
19,Avengers: Endgame,"Title: Avengers: Endgame. Movie: Avengers: Endgame. Avengers: Endgame. Release year: 2019. Overview: After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",[],[],2019
20,The Martian,"Title: The Martian. Movie: The Martian. The Martian. Release year: 2015. Overview: An astronaut becomes stranded on Mars after his team assumes him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",[],[],2015
21,The Wolf of Wall Street,"Title: The Wolf of Wall Street. Movie: The Wolf of Wall Street. The Wolf of Wall Street. Release year: 2013. Overview: Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",[],[],2013
22,Wonder Woman,"Title: Wonder Woman. Movie: Wonder Woman. Wonder Woman. Release year: 2017. Overview: When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",[],[],2017
23,Spider-Man: Homecoming,Title: Spider-Man: Homecoming. Movie: Spider-Man: Homecoming. Spider-Man: Homecoming. Release year: 2017. Overview: Peter Parker tries to stop Adrian 'The Vulture' Toomes from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.,[],[],2017
24,Joker,"Title: Joker. Movie: Joker. Joker. Release year: 2019. Overview: Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",[],[],2019
25,The Lord of the Rings: The Return of the King,Title: The Lord of the Rings: The Return of the King. Movie: The Lord of the Rings: The Return of the King. The Lord of the Rings: The Return of the King. Release year: 2003. Overview: Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,[],[],2003
26,Suicide Squad,Title: Suicide Squad. Movie: Suicide Squad. Suicide Squad. Release year: 2016. Overview: A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,[],[],2016
27,Harry Potter and the Philosopher's Stone,Title: Harry Potter and the Philosopher's Stone. Movie: Harry Potter and the Philosopher's Stone. Harry Potter and the Philosopher's Stone. Release year: 2001.,[],[],2001
28,Forrest Gump,"Title: Forrest Gump. Movie: Forrest Gump. Forrest Gump. Release year: 1994. Overview: The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",[],[],1994
29,The Lord of the Rings: The Two Towers,"Title: The Lord of the Rings: The Two Towers. Movie: The Lord of the Rings: The Two Towers. The Lord of the Rings: The Two Towers. Release year: 2002. Overview: While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",[],[],2002
30,Thor: Ragnarok,"Title: Thor: Ragnarok. Movie: Thor: Ragnarok. Thor: Ragnarok. Release year: 2017. Overview: Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",[],[],2017
31,The Shawshank Redemption,"Title: The Shawshank Redemption. Movie: The Shawshank Redemption. The Shawshank Redemption. Release year: 1994. Overview: A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",[],[],1994
32,Moana,"Title: Moana. Movie: Moana. Moana. Release year: 2016. Overview: In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana's island, she answers the Ocean's call to seek out Maui to set things right.",[],[],2016
33,Pulp Fiction,"Title: Pulp Fiction. Movie: Pulp Fiction. Pulp Fiction. Release year: 1994. Overview: The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",[],[],1994
34,Star Wars: The Force Awakens,Title: Star Wars: The Force Awakens. Movie: Star Wars: The Force Awakens. Star Wars: The Force Awakens. Release year: 2015. Overview: N/A,[],[],2015
35,Django Unchained,"Title: Django Unchained. Movie: Django Unchained. Django Unchained. Release year: 2012. Overview: With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",[],[],2012
36,The Dark Knight Rises,"Title: The Dark Knight Rises. Movie: The Dark Knight Rises. The Dark Knight Rises. Release year: 2012. Overview: Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",[],[],2012
37,Mad Max: Fury Road,"Title: Mad Max: Fury Road. Movie: Mad Max: Fury Road. Mad Max: Fury Road. Release year: 2015. Overview: In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",[],[],2015
38,John Wick: Chapter 2,"Title: John Wick: Chapter 2. Movie: John Wick: Chapter 2. John Wick: Chapter 2. Release year: 2017. Overview: After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",[],[],2017
39,Rogue One: A Star Wars Story,"Title: Rogue One: A Star Wars Story. Movie: Rogue One: A Star Wars Story. Rogue One: A Star Wars Story. Release year: 2016. Overview: In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",[],[],2016
40,Inside Out,"Title: Inside Out. Movie: Inside Out. Inside Out. Release year: 2015. Overview: After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions, Joy, Fear, Anger, Disgust, and Sadness, conflict on how best to navigate a new city, house, and school.",[],[],2015
41,Black Panther,"Title: Black Panther. Movie: Black Panther. Black Panther. Release year: 2018. Overview: T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",[],[],2018
42,Avengers: Age of Ultron,"Title: Avengers: Age of Ultron. Movie: Avengers: Age of Ultron. Avengers: Age of Ultron. Release year: 2015. Overview: When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",[],[],2015
43,Frozen,"Title: Frozen. Movie: Frozen. Frozen. Release year: 2013. Overview: Fearless optimist Anna teams up with rugged mountain man Kristoff and his loyal reindeer Sven in an epic journey to find Anna's sister Elsa, whose icy powers have trapped the kingdom of Arendelle in eternal winter.",[],[],2013
44,Batman Begins,"Title: Batman Begins. Movie: Batman Begins. Batman Begins. Release year: 2005. Overview: After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",[],[],2005
45,Zootopia,"Title: Zootopia. Movie: Zootopia. Zootopia. Release year: 2016. Overview: In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",[],[],2016
46,Fantastic Beasts and Where to Find Them,"Title: Fantastic Beasts and Where to Find Them. Movie: Fantastic Beasts and Where to Find Them. Fantastic Beasts and Where to Find Them. Release year: 2016. Overview: In 1926, magizoologist Newt Scamander arrives in New York during his worldwide tour to research and rescue magical creatures as something mysterious leaves trails of destruction in the city, threatening to expose the wizarding world.",[],[],2016
47,WALL·E,"Title: WALL·E. Movie: WALL·E. WALL·E. Release year: 2008. Overview: A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",[],[],2008
48,Captain America: The Winter Soldier,"Title: Captain America: The Winter Soldier. Movie: Captain America: The Winter Soldier. Captain America: The Winter Soldier. Release year: 2014. Overview: As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",[],[],2014
49,Dune,"Title: Dune. Movie: Dune. Dune. Release year: 2021. Overview: Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource.",[],[],2021
50,Back to the Future,"Title: Back to the Future. Movie: Back to the Future. Back to the Future. Release year: 1985. Overview: Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",[],[],1985
51,Star Wars,"Title: Star Wars. Movie: Star Wars. Star Wars. Release year: 1977. Overview: Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...",[],[],1977
52,Deadpool 2,"Title: Deadpool 2. Movie: Deadpool 2. Deadpool 2. Release year: 2018. Overview: Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable.",[],[],2018
53,Get Out,"Title: Get Out. Movie: Get Out. Get Out. Release year: 2017. Overview: A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",[],[],2017
54,Ant-Man,"Title: Ant-Man. Movie: Ant-Man. Ant-Man. Release year: 2015. Overview: Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",[],[],2015
55,Harry Potter and the Chamber of Secrets,"Title: Harry Potter and the Chamber of Secrets. Movie: Harry Potter and the Chamber of Secrets. Harry Potter and the Chamber of Secrets. Release year: 2002. Overview: Harry Potter lives his second year at Hogwarts with Ron and Hermione when a message on the wall announces that the legendary Chamber of Secrets has been opened. The trio soon realize that, to save the school, it will take a lot of...",[],[],2002
56,Harry Potter and the Prisoner of Azkaban,"Title: Harry Potter and the Prisoner of Azkaban. Movie: Harry Potter and the Prisoner of Azkaban. Harry Potter and the Prisoner of Azkaban. Release year: 2004. Overview: Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",[],[],2004
57,Inglourious Basterds,"Title: Inglourious Basterds. Movie: Inglourious Basterds. Inglourious Basterds. Release year: 2009. Overview: In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",[],[],2009
58,Spider-Man: Into the Spider-Verse,Title: Spider-Man: Into the Spider-Verse. Movie: Spider-Man: Into the Spider-Verse. Spider-Man: Into the Spider-Verse. Release year: 2018. Overview: Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,[],[],2018
59,Up,"Title: Up. Movie: Up. Up. Release year: 2009. Overview: 78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",[],[],2009
60,Kingsman: The Secret Service,Title: Kingsman: The Secret Service. Movie: Kingsman: The Secret Service. Kingsman: The Secret Service. Release year: 2015. Overview: A documentary on Kingsman: The Secret Service.,[],[],2015
61,Baby Driver,"Title: Baby Driver. Movie: Baby Driver. Baby Driver. Release year: 2017. Overview: Coerced into working for a crime boss, a young getaway driver must face the music when a doomed heist threatens his life, love, and freedom.",[],[],2017
62,Parasite,Title: Parasite. Movie: Parasite. Parasite. Release year: 2019. Overview: Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,[],[],2019
63,Captain America: The First Avenger,"Title: Captain America: The First Avenger. Movie: Captain America: The First Avenger. Captain America: The First Avenger. Release year: 2011. Overview: Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organiza...",[],[],2011
64,Edge of Tomorrow,Title: Edge of Tomorrow. Movie: Edge of Tomorrow. Edge of Tomorrow. Release year: 2014. Overview: A man fighting in a war against aliens must relive the same day every time he dies until he can find a way to stop their power source with the help of an elite soldier.,[],[],2014
65,Gladiator,Title: Gladiator. Movie: Gladiator. Gladiator. Release year: 2000. Overview: A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,[],[],2000
66,The Hunger Games,Title: The Hunger Games. Movie: The Hunger Games. The Hunger Games. Release year: 2012. Overview: Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,[],[],2012
67,Finding Nemo,"Title: Finding Nemo. Movie: Finding Nemo. Finding Nemo. Release year: 2003. Overview: After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",[],[],2003
68,Se7en,"Title: Se7en. Movie: Se7en. Se7en. Release year: 1995. Overview: Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",[],[],1995
69,Iron Man 2,"Title: Iron Man 2. Movie: Iron Man 2. Iron Man 2. Release year: 2010. Overview: With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",[],[],2010
70,Passengers,Title: Passengers. Movie: Passengers. Passengers. Release year: 2016. Overview: A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.,[],[],2016
71,The Lion King,"Title: The Lion King. Movie: The Lion King. The Lion King. Release year: 1994. Overview: Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",[],[],1994
72,The Empire Strikes Back,"Title: The Empire Strikes Back. Movie: The Empire Strikes Back. The Empire Strikes Back. Release year: 1980. Overview: After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",[],[],1980
73,Harry Potter and the Goblet of Fire,"Title: Harry Potter and the Goblet of Fire. Movie: Harry Potter and the Goblet of Fire. Harry Potter and the Goblet of Fire. Release year: 2005. Overview: Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",[],[],2005
74,Iron Man 3,"Title: Iron Man 3. Movie: Iron Man 3. Iron Man 3. Release year: 2013. Overview: When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",[],[],2013
75,Jurassic World,"Title: Jurassic World. Movie: Jurassic World. Jurassic World. Release year: 2015. Overview: A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",[],[],2015
76,Toy Story,"Title: Toy Story. Movie: Toy Story. Toy Story. Release year: 1995. Overview: A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",[],[],1995
77,"Monsters, Inc.","Title: Monsters, Inc.. Movie: Monsters, Inc.. Monsters, Inc.. Release year: 2001. Overview: In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",[],[],2001
78,Thor,"Title: Thor. Movie: Thor. Thor. Release year: 2011. Overview: The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",[],[],2011
79,Pirates of the Caribbean: The Curse of the Black Pearl,"Title: Pirates of the Caribbean: The Curse of the Black Pearl. Movie: Pirates of the Caribbean: The Curse of the Black Pearl. Pirates of the Caribbean: The Curse of the Black Pearl. Release year: 2003. Overview: Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",[],[],2003
80,Batman v Superman: Dawn of Justice,Title: Batman v Superman: Dawn of Justice. Movie: Batman v Superman: Dawn of Justice. Batman v Superman: Dawn of Justice. Release year: 2016. Overview: Batman is manipulated by Lex Luthor to fear Superman. Superman´s existence is meanwhile dividing the world and he is framed for murder during an international crisis. The heroes clash and force the neutral Wonder Woman to reemerge.,[],[],2016
81,Harry Potter and the Deathly Hallows: Part 2,"Title: Harry Potter and the Deathly Hallows: Part 2. Movie: Harry Potter and the Deathly Hallows: Part 2. Harry Potter and the Deathly Hallows: Part 2. Release year: 2011. Overview: As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",[],[],2011
82,Ready Player One,"Title: Ready Player One. Movie: Ready Player One. Ready Player One. Release year: 2018. Overview: When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",[],[],2018
83,Shutter Island,Title: Shutter Island. Movie: Shutter Island. Shutter Island. Release year: 2010. Overview: Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,[],[],2010
84,The Incredibles,"Title: The Incredibles. Movie: The Incredibles. The Incredibles. Release year: 2004. Overview: While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",[],[],2004
85,Harry Potter and the Order of the Phoenix,"Title: Harry Potter and the Order of the Phoenix. Movie: Harry Potter and the Order of the Phoenix. Harry Potter and the Order of the Phoenix. Release year: 2007. Overview: With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",[],[],2007
86,Knives Out,"Title: Knives Out. Movie: Knives Out. Knives Out. Release year: 2019. Overview: When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate.",[],[],2019
87,Jurassic Park,"Title: Jurassic Park. Movie: Jurassic Park. Jurassic Park. Release year: 1993. Overview: An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",[],[],1993
88,The Hobbit: An Unexpected Journey,"Title: The Hobbit: An Unexpected Journey. Movie: The Hobbit: An Unexpected Journey. The Hobbit: An Unexpected Journey. Release year: 2012. Overview: A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home and the gold within it from the dragon Smaug.",[],[],2012
89,Harry Potter and the Half-Blood Prince,"Title: Harry Potter and the Half-Blood Prince. Movie: Harry Potter and the Half-Blood Prince. Harry Potter and the Half-Blood Prince. Release year: 2009. Overview: As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",[],[],2009
90,Spider-Man: No Way Home,"Title: Spider-Man: No Way Home. Movie: Spider-Man: No Way Home. Spider-Man: No Way Home. Release year: 2021. Overview: With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",[],[],2021
91,Coco,"Title: Coco. Movie: Coco. Coco. Release year: 2017. Overview: Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",[],[],2017
92,Big Hero 6,"Title: Big Hero 6. Movie: Big Hero 6. Big Hero 6. Release year: 2014. Overview: A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",[],[],2014
93,Gone Girl,Title: Gone Girl. Movie: Gone Girl. Gone Girl. Release year: 2014. Overview: The husband of a missing woman becomes the main suspect in her disappearance.,[],[],2014
94,Harry Potter and the Deathly Hallows: Part 1,"Title: Harry Potter and the Deathly Hallows: Part 1. Movie: Harry Potter and the Deathly Hallows: Part 1. Harry Potter and the Deathly Hallows: Part 1. Release year: 2010. Overview: Harry Potter is tasked with the dangerous and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes. Harry must rely on Ron and Hermione more than ever, but dark forces threaten to tear them apart.",[],[],2010
95,Blade Runner 2049,"Title: Blade Runner 2049. Movie: Blade Runner 2049. Blade Runner 2049. Release year: 2017. Overview: Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",[],[],2017
96,Return of the Jedi,"Title: Return of the Jedi. Movie: Return of the Jedi. Return of the Jedi. Release year: 1983. Overview: After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",[],[],1983
97,Spider-Man: Far From Home,"Title: Spider-Man: Far From Home. Movie: Spider-Man: Far From Home. Spider-Man: Far From Home. Release year: 2019. Overview: Peter Parker, the beloved superhero Spider-Man, faces four destructive elemental monsters while on holiday in Europe. Soon, he receives help from Mysterio, a fellow hero with mysterious origins.",[],[],2019
98,The Truman Show,Title: The Truman Show. Movie: The Truman Show. The Truman Show. Release year: 1998. Overview: An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,[],[],1998
99,X-Men: Apocalypse,"Title: X-Men: Apocalypse. Movie: X-Men: Apocalypse. X-Men: Apocalypse. Release year: 2016. Overview: In the 1980s, the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive by bringing destruction to the world.",[],[],2016
100,Captain Marvel,Title: Captain Marvel. Movie: Captain Marvel. Captain Marvel. Release year: 2019. Overview: Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,[],[],2019
101,The Revenant,Title: The Revenant. Movie: The Revenant. The Revenant. Release year: 2015. Overview: A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,[],[],2015
102,Ratatouille,Title: Ratatouille. Movie: Ratatouille. Ratatouille. Release year: 2007. Overview: A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,[],[],2007
103,The Hunger Games: Catching Fire,Title: The Hunger Games: Catching Fire. Movie: The Hunger Games: Catching Fire. The Hunger Games: Catching Fire. Release year: 2013. Overview: Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,[],[],2013
104,Venom,"Title: Venom. Movie: Venom. Venom. Release year: 2018. Overview: A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",[],[],2018
105,Titanic,"Title: Titanic. Movie: Titanic. Titanic. Release year: 1997. Overview: A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",[],[],1997
106,The Godfather,Title: The Godfather. Movie: The Godfather. The Godfather. Release year: 1972. Overview: The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,[],[],1972
107,Now You See Me,"Title: Now You See Me. Movie: Now You See Me. Now You See Me. Release year: 2013. Overview: An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",[],[],2013
108,Jumanji: Welcome to the Jungle,"Title: Jumanji: Welcome to the Jungle. Movie: Jumanji: Welcome to the Jungle. Jumanji: Welcome to the Jungle. Release year: 2017. Overview: Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",[],[],2017
109,The Silence of the Lambs,"Title: The Silence of the Lambs. Movie: The Silence of the Lambs. The Silence of the Lambs. Release year: 1991. Overview: A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",[],[],1991
110,Thor: The Dark World,"Title: Thor: The Dark World. Movie: Thor: The Dark World. Thor: The Dark World. Release year: 2013. Overview: When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",[],[],2013
111,The Prestige,Title: The Prestige. Movie: The Prestige. The Prestige. Release year: 2006. Overview: Rival 19th-century magicians engage in a bitter battle for trade secrets.,[],[],2006
